"last_name, first_name","player_id","year","ff_avg_speed","ff_avg_spin","p_formatted_ip","p_game","n_ff_formatted","n_si_formatted","n_sl_formatted","n_cu_formatted","n_ch_formatted","n_fc_formatted","p_era"
"Pérez, Martín",527048,2023,"91.6","2028","141.2","35","5","41.8","1","3.7","26.5","22","4.45"
"García, Yimi",554340,2023,"96","2507","66.0","73","33.6","15.4","10.5","32.8","7.3",,"4.09"
"Medina, Luis",665622,2023,"96.1","2324","109.2","23","41.4","14.4","23.4","12.1","8.7",,"5.42"
"Skubal, Tarik",669373,2023,"95.8","2185","80.1","15","36","12.1","20.7","6.8","24.1",,"2.80"
"Ashcraft, Graham",668933,2023,"96.5","2468","145.2","26","0.1","9.6","37.3",,"0","53","4.76"
"García, Luis",472610,2023,"96.8","2233","59.2","61","11.1","46.2","0.5",,,,"4.07"
"Covey, Dylan",592229,2023,"95","2046","43.0","29","0.1","41.2","21.6",,"1","26.8","3.77"
"Lambert, Peter",663567,2023,"93.2","2213","87.1","25","44.6",,"21.2","3.2","20",,"5.36"
"Gott, Trevor",641627,2023,"93.3","2144","58.0","64","22.1","27.7",,"7.1","4.1","39","4.19"
"Alexander, Tyler",641302,2023,"89.9","2330","44.0","25","28","11","8.4",,"17.1","35.5","4.50"
"Bido, Osvaldo",674370,2023,"94.7","2387","50.2","16","27.8","23.6","36.3",,"9.9","2.4","5.86"
"Toussaint, Touki",657053,2023,"93.6","2223","87.0","20","23.6","26.5","2.3","28.8",,,"4.97"
"Flexen, Chris",623167,2023,"91.9","2118","102.1","29","41","1.9","6.7","2.3","16","29.2","6.86"
"Murphy, Chris",669684,2023,"93.9","2276","47.2","20","38.6","0.1","31.6","18.3","6.3",,"4.91"
"Diekman, Jake",518617,2023,"95.7","2283","56.2","63","31.5","32.3",,,"14.7","3.6","3.34"
"Cortes, Nestor",641482,2023,"91.6","2273","63.1","12","52.4","0.1","2",,"2.8","28.8","4.97"
"Kelly, Merrill",518876,2023,"92.2","2346","177.2","30","29.3","12.2","5.5","11","23.1","18.9","3.29"
"Payamps, Joel",606303,2023,"95.4","2494","70.2","69","20.5","23.4","14.6",,"12.3",,"2.55"
"Scherzer, Max",453286,2023,"93.7","2360","152.2","27","46.3",,"16.8","12.4","14.1","10.4","3.77"
"Webb, Jacob",657097,2023,"94.8","2476","53.2","54","48.9",,,,"27.6",,"3.69"
"Blach, Ty",621389,2023,"90.1","2167","78.0","20","0.4","54.6",,"6.4","22.1","16.5","5.54"
"Miller, Bobby",676272,2023,"99.1","2349","124.1","22","25.4","22.7","16.7","18.5","16",,"3.76"
"Eovaldi, Nathan",543135,2023,"95.1","2168","144.0","25","37.2","0","4.1","13.5",,"17.6","3.63"
"Brazobán, Huascar",623211,2023,"96.6","2216","58.2","50","16.6","22.3",,,"28.4","32.7","4.14"
"Peralta, Wandy",593974,2023,"95.7","2183","54.0","63","4.2","38.5","13.1",,"44.2",,"2.83"
"Robertson, David",502085,2023,,,"65.1","62",,"0.1","19.9","25.2","1.4","53.4","3.03"
"Moreta, Dauri",664294,2023,"95.2","2318","58.0","55","26.4",,"64.8",,"8.8",,"3.72"
"Lorenzen, Michael",547179,2023,"94.3","2454","153.0","29","34.5","12.2","22.7","1.1","21.6","1.5","4.18"
"Syndergaard, Noah",592789,2023,"92.2","2200","88.2","18","18","26.1","6.8","14.1","22.2","12.5","6.50"
"Cisnero, José",542585,2023,"95.8","2436","59.1","63","37.6","20.5","19.8",,"9.8","12.3","5.31"
"Cuas, Jose",621016,2023,"92.3","2378","65.1","72","19.9","49.4","19.6",,"4.1",,"3.99"
"Jax, Griffin",643377,2023,"96.5","2382","65.1","71","22.5","12.9",,"0.1","8.9","2.9","3.86"
"Jameson, Drey",686753,2023,"97","2236","40.2","15","27","30","26.1","3.7","13.2",,"3.32"
"Estévez, Carlos",608032,2023,"97.1","2181","62.1","63","66.3","0.5","26.6","0.4","6.2",,"3.90"
"Dunning, Dane",641540,2023,"90.6","2169","172.2","35","2.4","34","23.3","4.7","15.5","20.1","3.70"
"Stephan, Trevor",663986,2023,"94.9","2528","68.2","71","47.7",,"24.1",,,,"4.06"
"Hernández, Carlos",672578,2023,"99.1","2437","70.0","67","55.9","0.1","23.7","9.2",,,"5.27"
"Speier, Gabe",642100,2023,"95.1","2257","54.2","69","20.6","45.9","31.8",,"1.7",,"3.79"
"Barria, Jaime",642545,2023,"93","2266","82.1","34","30.2","5","50.7",,"14.1",,"5.68"
"Domínguez, Seranthony",622554,2023,"97.5","2355","50.0","57","38.4","29.9","27.7",,"4",,"3.78"
"Lynn, Lance",458681,2023,"92.4","2424","183.2","32","43.7","12.7",,"14","6.9","22.7","5.73"
"Houser, Adrian",605288,2023,"93.4","2192","111.1","23","23.9","47","16.6","8.5","4",,"4.12"
"Soto, Gregory",642397,2023,"98.8","2325","60.1","69","17.7","43.1","39",,"0.2",,"4.62"
"Barlow, Scott",605130,2023,"93","2373","68.0","63","21.4","7.9","25.9","33.6",,,"4.37"
"Romano, Jordan",605447,2023,"96.7","2326","59.0","59","45.8",,"54.2",,,,"2.90"
"De Los Santos, Enyel",660853,2023,"95.6","2266","65.2","70","60.5",,"30.4",,"9.1",,"3.29"
"Sandlin, Nick",680704,2023,"92.1","2320","60.0","61","26.5","19.5","49.7",,,,"3.75"
"Loup, Aaron",571901,2023,"91.2","2235","48.2","55","1.7","54.5",,"4.1","17.6","22.2","6.10"
"Keller, Mitch",656605,2023,"95.2","2378","194.1","32","26.1","22.8","0.4","8","2.8","23.8","4.21"
"Floro, Dylan",571670,2023,"92.3","2176","56.2","62","32.6","33.4","22.2",,"11.9",,"4.76"
"Doval, Camilo",666808,2023,"99.2","2205","67.2","69","0.3","29.8","36.2",,,"33.7","2.93"
"Waldichuk, Ken",686610,2023,"93.3","2300","141.0","35","54.3","0",,"2","16.6",,"5.36"
"Whitlock, Garrett",676477,2023,"94.1","2137","71.2","22","5.4","47.5","0.2",,"24.1",,"5.15"
"Ryan, Joe",657746,2023,"92.3","2216","161.2","29","56.9",,"3.6",,,,"4.51"
"King, Michael",650633,2023,"94.7","2385","104.2","49","23.3","32.9",,,"14.5",,"2.75"
"Leiter Jr., Mark",643410,2023,"91.1","1997","64.1","69","8.6","27.7",,"9.1",,"20.5","3.50"
"Weaver, Luke",596133,2023,"94","2402","123.2","29","41.7","1.8","10.5","11.8","20","11","6.40"
"Grove, Michael",675627,2023,"94.8","2237","69.0","18","31.9","5","39","17","0.3","6.7","6.13"
"Glasnow, Tyler",607192,2023,"96.4","2489","120.0","21","43.6",,"34.8","21.3","0.3",,"3.53"
"Ureña, José",570632,2023,"95.6","2195","44.2","10","14.5","35.9","25.3",,"24.3",,"6.45"
"Montgomery, Jordan",656756,2023,"93.2","2345","188.2","32","10.9","42.7","0.2","22.2","22.9","1.1","3.20"
"López, Pablo",641154,2023,"94.9","2262","194.0","32","34.5","10.6",,"12.4","21.1",,"3.66"
"Gallen, Zac",668678,2023,"93.5","2297","210.0","34","49.7","0","4","22.7","13.9","9.6","3.47"
"Kershaw, Clayton",477132,2023,"90.7","2325","131.2","24","36.8","0.2","43.4","17.5","1.6",,"2.46"
"Davidson, Tucker",656353,2023,"91.4","1970","51.1","38","35.2","2","44.3",,,,"5.96"
"Iglesias, Raisel",628452,2023,"95.1","2304","55.2","58","34.7","14.6","15.4",,"35.3",,"2.75"
"France, J.P.",641585,2023,"93.1","2426","136.1","24","42.7","0",,"13.7","15.2","19.3","3.83"
"DeSclafani, Anthony",543101,2023,"93.2","2254","99.2","19","14","26.3","44.8","5.1","9.8",,"4.88"
"Lauer, Eric",641778,2023,"90.8","2184","46.2","10","43.1","0.1","8.2","12.4","0.7","35.4","6.56"
"Woo, Bryan",693433,2023,"95.1","2208","87.2","18","46.9","25.5","15.1",,"3.7",,"4.21"
"Hudson, Dakota",641712,2023,"91.1","2168","81.1","18","22.3","37.6","32","5.2","2.4","0.5","4.98"
"Gomber, Austin",596295,2023,"90.6","2170","139.0","27","44.7","0.4","20.1","16.8","18.1",,"5.50"
"Richards, Trevor",670950,2023,"92.8","2271","72.2","56","43.4",,"0.5",,"56.1",,"4.95"
"Leclerc, José",600917,2023,"95.1","2544","57.0","57","35.9","3.2","31.6",,"13.3","16","2.68"
"Seabold, Connor",657756,2023,"92.6","2097","87.1","27","53.7","0.7","30.5","1.8","13.3",,"7.52"
"Littell, Zack",641793,2023,"94.1","2068","90.0","28","31.1","10.2","32.1",,,,"4.10"
"Morán, Jovani",663558,2023,"93.3","2268","42.1","43","45.6",,"7.2",,"47.2",,"5.31"
"Finnegan, Kyle",640448,2023,"97.3","2037","69.1","67","69.9","0.1","5",,,,"3.76"
"Rodón, Carlos",607074,2023,"95.3","2343","64.1","14","60.3",,"28.9","6.4","4.3","0.1","6.85"
"Maton, Phil",664208,2023,,,"66.0","68",,"4.1",,"40.4",,"32.1","3.00"
"Smith, Drew",622098,2023,"95","2503","56.1","62","61.2","0.1","20.8","8.5","9.3","0.1","4.15"
"Rogers, Taylor",573124,2023,"93.4","1915","51.2","60","0.7","40.8",,,,"2","3.83"
"Nelson, Kyle",669459,2023,"92","2217","56.0","68","33.1",,"59.2",,,"7.6","4.18"
"Gray, Sonny",543243,2023,"92.9","2537","184.0","32","26.8","16",,"16.9","6.7","13.1","2.79"
"Davies, Zach",605200,2023,"89.4","2216","82.1","18","25.4","29.7","1.9","6.2","24.7","11.3","7.00"
"Almonte, Yency",622075,2023,"96","2209","48.0","49","16","26.6",,,"6.5","0.8","5.06"
"Bielak, Brandon",656232,2023,"92.1","2415","80.0","15","30.6","21.6",,"11.1","24.8",,"3.83"
"Ottavino, Adam",493603,2023,"93.2","2375","61.2","66","5.6","37.7","0.1",,"13.9","15","3.21"
"Weathers, Ryan",677960,2023,"95.1","2212","57.2","15","53.7","2.5",,,"23.5",,"6.55"
"Waldron, Matt",663362,2023,"91.3","2049","41.1","8","21.1","23",,,,"13.1","4.35"
"Teheran, Julio",527054,2023,"89.2","2291","71.2","14","9.4","38.7",,"11.5","11.8","28.7","4.40"
"Corbin, Patrick",571578,2023,"91.7","2101","180.0","32","17","41.5","35.1",,"6.4",,"5.20"
"Honeywell, Brent",641703,2023,"94.8","2159","52.1","40","45.3","2.2","0.5",,"26.6",,"4.82"
"Hader, Josh",623352,2023,,,"56.1","61",,"73.4","23.2",,"3.4",,"1.28"
"Chafin, Andrew",605177,2023,"92.1","2165","51.1","63","20.8","43.2","35.1",,"0.9",,"4.73"
"Chargois, JT",608638,2023,"95.5","2358","42.1","46","5.5","52.9","41.5",,,,"3.61"
"Cueto, Johnny",456501,2023,"92.2","2216","52.1","13","34.5","19.7","23.8","0.3","19.3","2.3","6.02"
"Cabrera, Edward",665795,2023,"96.2","2301","99.2","22","27.4","9.8","8","23.4","31.4",,"4.24"
"Martinez, Nick",607259,2023,"93.3","2374","110.1","63","13.5","21.9","0.2","19.1","28.8","16.3","3.43"
"Giolito, Lucas",608337,2023,"93.1","2173","184.1","33","41.9","0.1","28.2","1.5","28.3",,"4.88"
"Soriano, George",666277,2023,"94.6","2128","52.0","26","40.4",,,,"21.6",,"3.81"
"Pruitt, Austin",643493,2023,"91.8","2309","48.1","38","24.4","15.5","37.6","16.1","6.1",,"2.98"
"Hoffman, Jeff",656546,2023,"97.2","2597","52.1","54","27.4","6.9","47.9",,,,"2.41"
"Hendricks, Kyle",543294,2023,"87.8","2134","137.0","24","20.5","34.9",,"3.5","41.1",,"3.74"
"Williams, Trevor",592866,2023,"89.7","2206","144.1","30","43.1","14.8","15.5","6.9","17",,"5.55"
"Abbott, Andrew",671096,2023,"92.7","2208","109.1","21","49.8","0.2",,"17.1","16.4",,"3.87"
"Sandoval, Patrick",663776,2023,"93","1986","144.2","28","25.2","11.4","26.1","9","25.8",,"4.11"
"Brash, Matt",666374,2023,"98.1","2274","70.2","78","33.7","3","51","8.4","0.1","3.9","3.06"
"Ramírez, Erasmo",541640,2023,"91.9","2195","60.1","38","4.7","29.3","5.4","8.1","7.7","43.7","6.41"
"Pallante, Andre",669467,2023,"96.1","2235","68.0","62","66.1","2.9","17.6","13.4",,,"4.76"
"Fairbanks, Pete",664126,2023,"98.9","2454","45.1","49","49.5",,"49.9",,"0.7",,"2.58"
"Hicks, Jordan",663855,2023,"100.3","2362","65.2","65","10.9","64.2","3.5",,,,"3.29"
"Miley, Wade",489119,2023,"90.4","2176","120.1","23","19.4","4.6","4.9","2.2","24.6","44.3","3.14"
"Luzardo, Jesús",666200,2023,"96.7","2250","178.2","32","41.3","8.5","28.9",,"21","0.4","3.58"
"Cabrera, Génesis",650893,2023,"96","2257","55.2","61","35.7","14.7",,"13.3","4.1","32.1","4.04"
"Gaddis, Hunter",683769,2023,"93.4","2200","42.0","11","39.9",,"31.7","6.6","18.2","3.6","4.50"
"Merryweather, Julian",657240,2023,"98.1","2342","72.0","69","40.8","0.1","49.2",,"7.5",,"3.38"
"Schmidt, Clarke",657376,2023,"95.2","2663","159.0","33","0","23.9",,"19.1","1.5","28","4.64"
"Bednar, David",670280,2023,"96.6","2453","67.1","66","57.9","0.1",,"25.4",,,"2.00"
"Peguero, Elvis",665625,2023,,,"61.1","59",,"49.1","50.9",,,,"3.38"
"Hand, Brad",543272,2023,"92.6","2309","53.2","60","32.4","17.8",,,,,"5.53"
"Pagán, Emilio",641941,2023,"95.8","2545","69.1","66","55",,,"2.5",,"30.1","2.99"
"Greinke, Zack",425844,2023,"89.5","2248","142.1","30","26.7","15.6","20","14.1","16.5","7","5.06"
"Smith, Will",519293,2023,"92.4","2204","57.1","60","38.9",,"50.2","8","2.9",,"4.40"
"Fujinami, Shintaro",660261,2023,"98.4","2014","79.0","64","56.5","0.1","1.2","0.1",,"16.2","7.18"
"Shuster, Jared",694363,2023,"91.4","2121","52.2","11","43.9","0.2","32.9",,"23",,"5.81"
"Curry, Xzavion",675540,2023,"92.5","2102","95.0","41","48.4",,"36.1","11.6","3.9",,"4.07"
"Junis, Jakob",596001,2023,"93.9","2045","86.0","40","1.1","26.5","1.4",,"9.9",,"3.87"
"Schreiber, John",670167,2023,"93.2","2206","46.2","46","28.6","25.9",,,"7.8","0.2","3.86"
"Pepiot, Ryan",686752,2023,"94","2342","42.0","8","50.6",,"14.7",,"34.7",,"2.14"
"Poche, Colin",621363,2023,"92.5","2249","60.2","66","65",,"35",,,,"2.23"
"Crawford, Kutter",676710,2023,"93.6","2488","129.1","31","39.2","0","6.3","11.9",,"28.2","4.04"
"Silseth, Chase",681217,2023,"95","2401","52.1","16","35.6","14.2","2.7","2.4",,"8.4","3.96"
"Blackburn, Paul",621112,2023,"91.9","2166","103.2","21","14.6","24",,"11.7","11.2","20.4","4.43"
"Wainwright, Adam",425794,2023,"85.7","2159","101.0","21","10","31.4","0.3","30.8","5","22.6","7.40"
"Bello, Brayan",678394,2023,"95.5","2083","157.0","28","20.6","36.3","11.8",,"23.9","1.5","4.24"
"Gonzales, Marco",594835,2023,"89.1","2026","50.0","10","26.8","10.1",,"24.2","30.2","8.8","5.22"
"Ramirez, Nick",598286,2023,"90.3","2071","40.2","32","2.6","40.6","1.4","0.2","28",,"2.66"
"Miller, Bryce",682243,2023,"95.1","2591","131.1","25","58.1","7.6","18.9","0.9","5.3","0.5","4.32"
"Ober, Bailey",641927,2023,"91.3","2313","144.1","26","45.7",,"2.4","6.7","28",,"3.43"
"Holton, Tyler",663947,2023,"91.5","2167","85.1","59","27.9","12.3",,"3.6","22.5","19.4","2.11"
"Ragans, Cole",666142,2023,"96.5","2481","96.0","29","40.1",,"10.4","12.4","23.7","13.4","3.47"
"Abreu, Bryan",650556,2023,"97.6","2389","72.0","72","41","0.2","58.7","0.1",,,"1.75"
"Machado, Andrés",600921,2023,"96.6","2119","50.0","44","30.5","28.8","13.2",,"27.5",,"5.22"
"Rucker, Michael",621074,2023,"94.6","2293","40.1","35","39.4","2.1","17.4","10.3","4.5","26.4","4.91"
"Peterson, David",656849,2023,"92.7","2129","111.0","27","27.5","25","19.8","8.8","18.9",,"5.03"
"Urquidy, José",664353,2023,"93.1","2254","63.0","16","38.1","9.9",,"11.6","21.6",,"5.29"
"Flaherty, Jack",656427,2023,"93.2","2309","144.1","29","41.3","2.5","25.3","19.4","3.2","8.3","4.99"
"Erceg, Lucas",668674,2023,"98","2117","55.0","50","27.3","31.4","14.7",,"22.1","4.5","4.75"
"Faedo, Alex",656412,2023,"92.9","2417","64.2","15","48.5",,"38.1",,"13.3",,"4.45"
"Phillips, Evan",623465,2023,"96.3","2353","61.1","62","20","10.7",,,,"23.8","2.05"
"Pivetta, Nick",601713,2023,"94.6","2347","142.2","38","50.6",,"11.1","24.7",,"7.8","4.04"
"Wells, Tyler",669330,2023,"92.5","2444","118.2","25","37.7",,"16.3","7.8","18.5","19.7","3.64"
"Ortiz, Luis",682847,2023,"96.2","2274","86.2","18","25.3","28.1","32.7",,"13.7","0.3","4.78"
"Irvin, Cole",608344,2023,"92.2","2031","77.1","24","25.8","22.8",,"0.2","21.2","15.8","4.42"
"Ferguson, Caleb",657571,2023,"95.8","2304","60.1","68","66.4","0.1",,,,"30","3.43"
"McHugh, Collin",543521,2023,"91.3","2301","58.2","41","3.9",,,"2","0.4","45.8","4.30"
"Topa, Justin",623437,2023,,,"69.0","75",,"44.6",,,"6.8","18.5","2.61"
"Bummer, Aaron",607481,2023,"94.6","2342","58.1","61","6.5","44.4",,,"0.5","10.6","6.79"
"Hernandez, Jose E.",669796,2023,"94.6","2063","50.2","50","33.2",,"55.9",,"10.9",,"4.97"
"Winn, Keaton",676775,2023,"96","2272","42.1","9","26.4","14.6","3.5",,,,"4.68"
"Harvey, Hunter",640451,2023,"98.3","2078","60.2","57","60",,"13.9","7.4",,,"2.82"
"Bernardino, Brennan",657514,2023,"89.7","1520","50.2","55","0.2","55.7",,"42.7","1.4",,"3.20"
"Gray, Josiah",680686,2023,"93.6","2139","159.0","30","14.7","19.5","24.5","16.1","1.6","18","3.91"
"Tonkin, Michael",543859,2023,"93.5","2304","80.0","45","61.2",,"37.3",,,,"4.28"
"Marsh, Alec",679525,2023,"94.2","2461","74.1","17","37.3","7.2","9.8","14.9","14.9",,"5.69"
"Gonsolin, Tony",664062,2023,"92.4","2215","103.0","20","39.4","0.1","18.3","15.1",,,"4.98"
"VerHagen, Drew",572403,2023,"93.4","2299","61.0","60","27.3","17.9",,,"11.2","12.6","3.98"
"Kaprielian, James",621076,2023,"92.3","2001","61.0","14","41.3","14.1","30.3","6.1","8","0.2","6.34"
"Clase, Emmanuel",661403,2023,"100.6","2675","72.2","75","0.1","0.4","32",,,"67.5","3.22"
"Coulombe, Danny",543056,2023,"91.4","2451","51.1","61","8.6","18.1",,"10.7","1.9","43","2.81"
"Cease, Dylan",656302,2023,"95.6","2519","177.0","33","43.2",,"38.6","15.2","3",,"4.58"
"Civale, Aaron",650644,2023,"91.8","2384","122.1","23","12.4","18.5","5.8","24.4",,"37.2","3.46"
"Sims, Lucas",608371,2023,"94.2","2622","61.0","67","43.4","0.2","1.5","5.9",,,"3.10"
"López, Reynaldo",625643,2023,"98.2","2189","66.0","68","63.9","0.4","29.4","0.9","5.4",,"3.27"
"Smyly, Drew",592767,2023,"90.6","2106","142.1","41","0.2","38.5",,"49.4",,"11.9","5.00"
"Suter, Brent",608718,2023,"86","2202","69.1","57","30.6","30.4","10.8",,"28.3",,"3.38"
"Wheeler, Zack",554430,2023,"95.8","2495","192.0","32","43.3","18.2",,"11.4","0.4","14.4","3.61"
"McGough, Scott",543518,2023,"93.5","2332","70.1","63","50.6","0.5","9.4",,,,"4.73"
"Kelly, Kevin",687330,2023,"91.8","2082","67.0","57","1.4","47.8",,,,"9.8","3.09"
"Leone, Dominic",608678,2023,"95.6","2304","54.0","51","37.5","1.1","29.9",,,"31.5","4.67"
"Rea, Colin",607067,2023,"93.2","2156","124.2","26","19.1","30.1",,"7.9","5.6","26.4","4.55"
"Young, Alex",622065,2023,"91.3","2315","53.2","63","3.6","36.1",,"24.3","35.9",,"3.86"
"Matz, Steven",571927,2023,,,"105.0","25",,"56.1","1.8","14.8","27.4",,"3.86"
"Manoah, Alek",666201,2023,"92.8","2347","87.1","19","29","28.1","30",,"13",,"5.87"
"Varland, Louis",686973,2023,"95.3","2221","68.0","17","42.6","1","32",,"11.3",,"4.63"
"Henry, Tommy",674072,2023,"90.7","2143","89.0","17","48.9","0.1","12.6","19.1","19.3",,"4.15"
"Devenski, Chris",606965,2023,"94","2257","42.1","38","29.1",,"12.5","0.1","51.5",,"4.46"
"Paxton, James",572020,2023,"95.3","2212","96.0","19","53.7","3.6",,"19.7","6.7","16.3","4.50"
"Gausman, Kevin",592332,2023,"94.7","2278","185.0","31","50.7","0.2","10.2",,,,"3.16"
"Beeks, Jalen",656222,2023,"94.3","2061","42.1","30","43.5",,"1.2",,"44.3","10.9","5.95"
"Sale, Chris",519242,2023,"93.9","2208","102.2","20","43.2","6.2","37.5",,"13.1",,"4.30"
"Lucchesi, Joey",664192,2023,"90.4","2205","46.2","9","24.1","49.9",,"24.7",,"0.6","2.89"
"Lively, Ben",594902,2023,"90.7","2009","88.2","19","32.6","21.5","1.2","6.6","10.2","4.8","5.38"
"Irvin, Jake",663623,2023,"94.5","2333","121.0","24","36.1","28.1",,"30.6","5.2",,"4.61"
"Adam, Jason",592094,2023,"94.6","2625","54.1","56","33.4",,"1.3",,"35.2",,"2.98"
"Allen, Logan",671106,2023,"91.4","2150","125.1","24","45","0","2.4",,"21.3","9","3.81"
"Greene, Hunter",668881,2023,"98.3","2342","112.0","22","54.6",,"40.2","0.1","4.9",,"4.82"
"Neris, Héctor",593576,2023,"93","2430","68.1","71","51.9","15.4","3.9",,,,"1.71"
"Blanco, Ronel",669854,2023,"94.5","2267","52.0","17","40.2",,"48.6","2.2","9",,"4.50"
"Wilson, Bryse",669060,2023,"93.6","2154","76.2","53","16.4","34.8",,"13.4","0.6","34.7","2.58"
"Abreu, Albert",656061,2023,"96.8","2093","59.0","45","5.9","51.6","28.1",,"14.4",,"4.73"
"Baker, Bryan",641329,2023,"95.7","2327","45.0","46","56.8",,"28.8",,"14.4",,"3.60"
"Moore, Matt",519043,2023,"94","2324","52.2","50","47.9","0.1",,"20.7","31.3",,"2.56"
"Alvarado, José",621237,2023,"98.6","2087","41.1","42","0.5","58.2",,,,"41.2","1.74"
"Jackson, Andre",656578,2023,"94.9","2268","61.1","19","44.6",,"17","6.5","32",,"4.99"
"Wesneski, Hayden",669713,2023,"94.3","2147","89.1","34","28.9","19.6","0.3",,"4.9","10.3","4.63"
"Cole, Gerrit",543037,2023,"96.7","2412","209.0","33","52.9","0.1","20.7","12.1","7.1","7.1","2.63"
"Pfaadt, Brandon",694297,2023,"93.7","2469","96.0","19","45.2","10.1",,"5.5","12.2",,"5.72"
"Detmers, Reid",672282,2023,"94.4","2105","148.2","28","38.1","5.1","30.9","19.4","5.4",,"4.48"
"Anderson, Chase",502624,2023,"93.3","2199","86.1","19","24.6","13.9","0.3","4.1","22.9","26.3","5.42"
"Sheehan, Emmet",686218,2023,"95.4","2291","60.1","13","59.9","0.1","18.9",,"17.2",,"4.92"
"Puk, A.J.",640462,2023,"95.8","2191","56.2","58","51.2","4.9","1.2",,"0.8",,"3.97"
"Olson, Reese",681857,2023,"94.8","2284","103.2","21","29.7","18.7","30.6","5.8","15.1",,"3.99"
"Keller, Brad",641745,2023,"93.3","2313","45.1","11","31.2","10.3","23.9","19.7","12.3",,"4.57"
"Ohtani, Shohei",660271,2023,"96.8","2259","132.0","23","32.9","6.5","3.9","3.7",,"12.2","3.14"
"Thompson, Zack",668868,2023,"93.6","1804","66.1","25","53.7",,"17","27.3","2.1",,"4.48"
"Ruiz, José",614179,2023,"96.5","2273","44.1","38","31.5","20.4",,"35","13.1",,"5.89"
"May, Trevor",543507,2023,"94.7","2269","46.2","49","42.4",,"25.9",,"22.3",,"3.28"
"Heaney, Andrew",571760,2023,"92.5","2413","147.1","34","57.8","0","25","0.2","16.9",,"4.15"
"Priester, Quinn",682990,2023,"92.7","2345","50.0","10","18.9","34.1","23.3","13","10.6",,"7.74"
"Hentges, Sam",656529,2023,"95.7","2124","52.1","56","31.2","18.1","14.7","36",,,"3.61"
"Graveman, Kendall",608665,2023,"95.9","2338","66.1","68","22.5","39.4","26.8","2.2","9.1",,"3.12"
"Bautista, Félix",642585,2023,,,"61.0","56",,"70.4","4.8",,,,"1.48"
"Canning, Griffin",656288,2023,"94.7","2138","127.0","24","34.7","0.7","29.9","13.4","21.3",,"4.32"
"Clevinger, Mike",605182,2023,"94.4","2269","131.1","24","47.3","3",,"1.6","12.8","8.2","3.77"
"Houck, Tanner",656557,2023,"93.9","2199","106.0","21","10.2","29.3","37.2",,,"11","5.01"
"Miller, Shelby",571946,2023,"93.5","2302","42.0","36","57.6",,,,,,"1.71"
"Swanson, Erik",657024,2023,"93.7","2266","66.2","69","34.7",,"17.8",,,,"2.97"
"Strider, Spencer",675911,2023,"97.2","2362","186.2","32","58.9",,"33.8",,"7.3",,"3.86"
"Gore, MacKenzie",669022,2023,"95","2286","136.1","27","59.5",,"18.7","18.4","2.9",,"4.42"
"Freeland, Kyle",607536,2023,"88.8","2345","155.2","29","18.2","27.9",,"17.6","12.7","23.6","5.03"
"Rodriguez, Grayson",680570,2023,"97.4","2270","122.0","23","49.6",,"1.2","8.1","22.4","4.4","4.35"
"Bibee, Tanner",676440,2023,"94.9","2302","142.0","25","46.9","0.1",,"9.3","16.6","27","2.98"
"Carrasco, Carlos",471911,2023,"92.7","2217","90.0","20","31.8","10.6","18.4","8.8","29.8","0.4","6.80"
