"last_name, first_name","player_id","year","ff_avg_speed","ff_avg_spin","p_formatted_ip","p_game","n_ff_formatted","n_si_formatted","n_sl_formatted","n_cu_formatted","n_ch_formatted","n_fc_formatted","p_era"
"Urías, Julio",628711,2023,"92.7","2445","117.1","21","45","0.1",,,"15.7","9.2","4.60"
"Mikolas, Miles",571945,2023,"93.3","2276","201.1","35","26","24.4","24.3","20","5.4",,"4.78"
"Weems, Jordan",607179,2023,"96.3","2110","54.2","51","48",,"43.4","0.7",,,"3.62"
"Raley, Brooks",548384,2023,"89.8","2562","54.2","66","0.7","24.9",,,"15.1","23","2.80"
"Moll, Sam",594580,2023,"94.1","2576","62.1","70","25.9","34.9",,,"1.4",,"3.03"
"Gibaut, Ian",664139,2023,"95.1","2234","75.2","74","44.1",,,,"8.1","27","3.33"
"Castillo, Luis",622491,2023,"96.3","2287","197.0","33","44.3","18","22.1",,"15.6",,"3.34"
"Brown, Hunter",686613,2023,"95.7","2240","155.2","31","46.2",,,"23.8","4.8","23.6","5.09"
"Javier, Cristian",664299,2023,"92.7","2255","162.0","31","58.4",,"0.1","7.5","4.1",,"4.56"
"Alzolay, Adbert",640470,2023,"95.3","2346","64.0","58","20","20.1","46.6",,"0.5","8.4","2.67"
"Sewald, Paul",623149,2023,"92.2","2514","60.2","65","56.9","0.3",,,,,"3.12"
"Quantrill, Cal",615698,2023,"93.7","2205","99.2","19","16","26.5",,"10.9","10.1","24.1","5.24"
"Holmes, Clay",605280,2023,"95.7","2331","63.0","66","0.2","69.3","20.9",,,,"2.86"
"Severino, Luis",622663,2023,"96.5","2269","89.1","19","43.5","4.3","17.8",,"18.5","14.9","6.65"
"Kremer, Dean",665152,2023,"94.6","2305","172.2","32","36.6","15.1",,"8.9","12.1","23.8","4.12"
"Baumann, Mike",657508,2023,"96.4","2232","64.2","60","51.4",,"20.8","25.4","2.4",,"3.76"
"Lange, Alex",656638,2023,"96.1","2241","66.0","67","4.6","26.7","58.5",,"10.2",,"3.68"
"Steele, Justin",657006,2023,"91.8","2402","173.1","30","62.8","1.6","33.8","0.7","1",,"3.06"
