"last_name, first_name","player_id","year","ff_avg_speed","ff_avg_spin","p_formatted_ip","p_game","n_ff_formatted","n_si_formatted","n_sl_formatted","n_cu_formatted","n_ch_formatted","n_fc_formatted","p_era"
"Fedde, Erick",607200,2024,"93.3","2076","177.1","31","0.7","30.5",,,"16.4","32.3","3.30"
"Cronin, Declan",686539,2024,"93.9","2650","70.1","56","7.2","40.6","51.5",,,,"4.35"
"Miller, Shelby",571946,2024,"93.5","2418","55.2","51","60.6",,"20.6",,,,"4.53"
"Banda, Anthony",607455,2024,"96.1","2184","49.2","48","34.6","24.4","28.3",,"12.7",,"3.08"
"Kahnle, Tommy",592454,2024,"94.2","2146","42.2","50","19.6","1.9","5.7",,"72.8",,"2.11"
"Medina, Luis",665622,2024,"95.9","2369","40.0","8","41.7","15","25.1","10.1","8.1",,"5.18"
"Miller, Mason",695243,2024,"100.9","2508","65.0","55","63.1",,"35",,"1.8",,"2.49"
"Sale, Chris",519242,2024,"94.8","2240","177.2","29","38.2","7.2","40.3",,"14.2",,"2.38"
"Herz, DJ",687792,2024,"93.5","2325","88.2","19","54.2",,"17.9","3.3","24.5",,"4.16"
"Fulmer, Carson",608334,2024,"93.1","2273","86.2","37","22.7","24.3","16.3","6","27",,"4.15"
"Abbott, Andrew",671096,2024,"92.8","2254","138.0","25","53.5",,"0.2","11.6","16.3",,"3.72"
"Rogers, Tyler",643511,2024,"82.3","1961","70.1","77","0.6","63.9","35.5",,,,"2.82"
"Milner, Hoby",571948,2024,"88.8","2017","64.2","61","21.5","31.9",,,"13.7",,"4.73"
"Smith, Will",519293,2024,"91.2","2215","41.1","45","29",,"44.7","11.7","14.6",,"6.53"
"Smyly, Drew",592767,2024,"90.1","2220","58.2","50","0.3","47.7",,"48.6",,"3.3","3.84"
"Miller, Erik",669062,2024,"96.9","2272","67.1","73","49.7",,,,"33.9",,"3.88"
"Gallen, Zac",668678,2024,"93.7","2293","148.0","28","46.3","0.2","7.9","27.7","14","3.9","3.65"
"Hendricks, Kyle",543294,2024,"87.7","2086","130.2","29","12.7","35.5",,"13.1","38.7",,"5.92"
"Phillips, Evan",623465,2024,"96.2","2399","54.2","61","36.5","9.9",,,,"14.9","3.62"
"Rainey, Tanner",663432,2024,"94","2399","51.0","50","70.9",,"27.7",,"1.4",,"4.76"
"Megill, Trevor",656730,2024,"98.8","2456","46.1","48","71.3","0.3",,"28.4",,,"2.72"
"Wheeler, Zack",554430,2024,"95.3","2431","200.0","32","41.4","19",,"10.1",,"9.6","2.57"
"Ragans, Cole",666142,2024,"95.4","2553","186.1","32","41.7","0.1","12.8","10.4","23.7","11.3","3.14"
"Shuster, Jared",694363,2024,"92.5","2191","73.1","39","37.4","4.7","28.4",,"29.4",,"4.30"
"Leiter Jr., Mark",643410,2024,"91.8","1982","58.0","60","1.6","28.6","0.1","17","0.2","7.5","4.50"
"Miller, Bryce",682243,2024,"95.2","2484","180.1","31","42.1","17.3","8.3","4.5",,"2.3","2.94"
"Burnes, Corbin",669203,2024,"96.3","1805","194.1","32","0.1","7.7","12.8","21.5","11.1","45","2.92"
"Martin, Chris",455119,2024,"94.7","2172","44.1","45","31.1","9.4",,,,"45.5","3.45"
"Crawford, Kutter",676710,2024,"92.6","2505","183.2","33","33.7",,,"7.2",,"32.1","4.36"
"Pop, Zach",647315,2024,"96.1","2296","48.1","58","0.4","72.7","14.5",,,"12.4","5.59"
"Romero, JoJo",668941,2024,"95.1","2253","59.0","65","9.9","39",,,"17.1","0.1","3.36"
"Garcia, Robert",676395,2024,"94.5","2226","59.2","72","52.7","0.1","16",,"31.2",,"4.22"
"King, Michael",650633,2024,"93.7","2286","173.2","31","24.2","27.8","5.6",,"24.6",,"2.95"
"McArthur, James",663704,2024,"94.7","2402","56.2","57","9.1","35.7","21.6","33.7",,,"4.92"
"Brown, Ben",676962,2024,"96.4","2222","55.1","15","62.7",,,"35.7","1.6",,"3.58"
"Winn, Keaton",676775,2024,"95.7","2303","55.1","12","26.3","19.2","13.9",,,,"7.16"
"Puk, A.J.",640462,2024,"95.6","2266","71.1","62","43.2","14.7","21.7",,"1.4",,"3.15"
"Bido, Osvaldo",674370,2024,"94.8","2386","63.1","16","40","9.3","21.1",,"15.2","14.4","3.41"
"Kremer, Dean",665152,2024,"93.4","2278","129.2","24","32.2","14.8",,"11.4",,"23","4.10"
"Castillo, Luis",622491,2024,"95.6","2155","175.1","30","45.3","18.1","22.4",,"14.3",,"3.64"
"Matz, Steven",571927,2024,"90.2","2000","44.1","12","0.1","59.7","6.9","7.6","25.7",,"5.08"
"Mayza, Tim",641835,2024,"89.4","2021","42.2","50","0.1","71.7","25.6",,,"2.6","6.33"
"Floro, Dylan",571670,2024,"89.7","2169","68.2","66","14.2","49.3","26.9",,"9.5",,"3.80"
"Díaz, Alexis",664747,2024,"93.9","2613","56.1","60","57.9",,"42.1",,,,"3.99"
"Soto, Gregory",642397,2024,"98","2276","53.0","66","10.9","46.9","33.5",,,"0.7","4.42"
"Brebbia, John",605154,2024,"93.8","2283","55.1","59","48.2",,"51.8",,,,"5.86"
"Suarez, Robert",663158,2024,"99.1","2424","65.0","65","69.5","17.5",,,"12.6","0.4","2.77"
"García, Luis",472610,2024,"96.1","2192","59.0","60","5.4","53.2","12.9",,,"1.9","4.88"
"Hudson, Dakota",641712,2024,"90","2115","89.0","18","15.6","32.6","24.3","17","10.1","0.5","6.17"
"Fairbanks, Pete",664126,2024,"97.3","2341","45.1","46","52.3",,"44.8",,"2.9",,"3.57"
"Hoeing, Bryan",663773,2024,"94.4","2059","53.2","34","4.7","51.8","22.9",,,,"2.18"
"Weaver, Luke",596133,2024,"95.7","2462","84.0","62","48.3","0.1","0.6","1.1","27.7","22.1","2.89"
"Francis, Bowden",670102,2024,"92.9","2363","103.2","27","51.3","3","9.3","18.2",,,"3.30"
"Leclerc, José",600917,2024,"95.3","2534","66.2","64","34.8","7.1","31.9","0.4","10.2","15.6","4.32"
"Sandoval, Patrick",663776,2024,"93.7","2035","79.2","16","15.9","17.5","24.7","9","28.3",,"5.08"
"Faucher, Calvin",676534,2024,"96","2324","53.2","53","33.2",,,"22",,"37.9","3.19"
"Anderson, Justin",605121,2024,"96","2271","53.1","56","33.1","14","45.3",,,"7.6","4.39"
"Cruz, Fernando",518585,2024,"94.7","2281","66.2","69","32.3","0.2","0.4",,,"25.3","4.86"
"Parker, Mitchell",680730,2024,"92.5","2191","151.0","29","48.6",,"9.8","22.5",,,"4.29"
"Ruiz, José",614179,2024,"96.4","2316","51.0","52","28.1","23.6","3.8","41.2","3.2",,"3.71"
"Rea, Colin",607067,2024,"93","2174","167.2","32","19.5","30.9",,"4.5","8.9","19.4","4.29"
"Ferguson, Caleb",657571,2024,"93.8","2218","54.1","62","43.3","9.8",,,,"26.5","4.64"
"Lambert, Peter",663567,2024,"94.5","2234","61.1","28","38.4","2.4","18.8","3.9","25","1","5.72"
"Banks, Tanner",621383,2024,"93.6","2257","72.1","63","30.9","8.8","33",,"12.5",,"3.98"
"Scott, Tanner",656945,2024,"97","2567","72.0","72","59.2","0.1","40.7",,"0.1",,"1.75"
"Musgrove, Joe",605397,2024,"93","2652","99.2","19","23","6","0.3","22.5","7.8","20.4","3.88"
"Williams, Trevor",592866,2024,"88.9","2191","66.2","13","36","12.5","13.5",,"16.8",,"2.03"
"Feltner, Ryan",663372,2024,"94.6","2354","162.1","30","36","13.7","20.5","10.1","14.7",,"4.49"
"Schmidt, Clarke",657376,2024,"93.9","2599","85.1","16","0.1","20.8","3.2","16.6","0.5","35.1","2.85"
"Freeland, Kyle",607536,2024,"91.6","2355","113.1","21","20.4","26.6",,"18.8","11.6","22.6","5.24"
"Scott, Christian",681035,2024,"94.2","2235","47.1","9","52.9",,"17.7",,,"0.3","4.56"
"Alvarado, José",621237,2024,"96.8","2078","61.2","66","0.2","59.2",,"0.3",,"40.3","4.09"
"Montas, Frankie",593423,2024,"95.6","2387","150.2","30","33","19.3","6.3",,,"18.8","4.84"
"Strahm, Matt",621381,2024,"93.4","2496","62.2","66","53.4","15.3","19.4",,"0.1","11.8","1.87"
"Severino, Luis",622663,2024,"96.2","2220","182.0","31","35.7","24.6","7",,"7.5","8.1","3.91"
"Thorpe, Drew",689672,2024,"91","2190","44.1","9","32.2",,"14.6",,"35.5","14.4","5.48"
"Stratton, Chris",608717,2024,"91.8","2405","58.1","57","37.8","9.2","20.6","22.1","10",,"5.55"
"Priester, Quinn",682990,2024,"93.1","2219","49.2","11","13.6","30.2","27.9","14.5","12.7","1.1","4.71"
