"last_name, first_name","player_id","year","ff_avg_speed","ff_avg_spin","p_formatted_ip","p_game","n_ff_formatted","n_si_formatted","n_sl_formatted","n_cu_formatted","n_ch_formatted","n_fc_formatted","p_era"
"Canning, Griffin",656288,2024,"93.4","2118","171.2","32","37.3","1.3","24.1","10.7","26.7",,"5.19"
"McKenzie, Triston",663474,2024,"91.1","2229","75.2","16","52.4",,"21","26.6",,,"5.11"
"Skubal, Tarik",669373,2024,"96.9","2226","192.0","31","33.2","20.6","14.9","4.2","27",,"2.39"
"Singer, Brady",663903,2024,"91.7","2364","179.2","32","11","41.7","40.3",,"1.7","0","3.71"
"Gibson, Kyle",502043,2024,"91.4","2232","169.2","30","13.3","26.4",,"8.6","9.9","21.1","4.24"
"Pfaadt, Brandon",694297,2024,"93.8","2557","181.2","32","33.3","22.2",,"5.3","11.3",,"4.71"
"Jansen, Kenley",445276,2024,,,"54.2","54",,"8.1","5.9",,,"84.1","3.29"
"Hader, Josh",623352,2024,"95","2365","71.0","71","0.2","71.4","27.4",,"1",,"3.80"
"Rodríguez, Randy",678495,2024,"97.6","2518","52.1","35","48.6","6","39.8",,"5.6",,"4.30"
"McCaughan, Darren",670766,2024,"89.4","2147","42.0","12","19.5","31.5",,,"11.1",,"6.21"
"Holton, Tyler",663947,2024,"92","2294","94.1","66","15.1","21.8",,"1.5","18.9","27.3","2.19"
"Kerkering, Orion",689147,2024,"97.6","2355","63.0","64","29.2","15.2",,,,,"2.29"
"Ryan, Joe",657746,2024,"94","2277","135.0","23","48.4","6","7.1",,,,"3.60"
"Hudson, Bryan",663542,2024,"91.3","2287","62.1","43","52.2",,,,,"24.5","1.73"
"Taillon, Jameson",592791,2024,"92.3","2283","165.1","28","29.5","11",,"14.7","4.3","25.1","3.27"
"Montero, Keider",672456,2024,"94.7","2165","98.1","19","41.5","7.9","28.5","11.5","10.7",,"4.76"
"Gilbert, Logan",669302,2024,"96.6","2034","208.2","33","30.7","1.5","32",,,"10.5","3.23"
"Carrasco, Carlos",471911,2024,"91.7","2181","103.2","21","25.3","17.1","24.3","6.9","23.2",,"5.64"
"Verlander, Justin",434378,2024,"93.5","2395","90.1","17","48.5","0.1","19.3","21.9","10.1",,"5.48"
"Bednar, David",670280,2024,"97.2","2468","57.2","62","55.5",,,"20.4",,,"5.77"
"Bivens, Spencer",702352,2024,"94.5","1971","48.2","27","5.5","47.3","0.4",,"13.5","9.5","3.14"
"Boyle, Joe",671212,2024,"97.7","2506","47.2","13","59",,"34.3","3.7",,,"6.42"
"Buttó, José",676130,2024,"94.2","2404","74.0","30","31.4","23.1","12.9",,"22.1",,"2.55"
"Buehler, Walker",621111,2024,"95","2279","75.1","16","28.9","16.4","0.8","19.2","5.2","20.9","5.38"
"Santana, Dennis",642701,2024,"95.8","2510","71.2","62","26.4","13.2","32.3","0.2","8.4","19.5","3.89"
"Ortiz, Luis",682847,2024,"95.9","2277","135.2","37","26.7","25.8","26.8",,"1","19.7","3.32"
"Strickland, Hunter",519326,2024,"94.2","2317","73.1","72","31.7","9.2","13.1",,"6.1","31.4","3.31"
"Cease, Dylan",656302,2024,"96.9","2557","189.1","33","43.5","0.1","43","7.9","0.9","0.6","3.47"
"Bello, Brayan",678394,2024,"95.7","2192","162.1","30","4.7","40.3","0.3",,"26.9",,"4.49"
"Brazobán, Huascar",623211,2024,"96.6","2199","51.2","39","21.7","24.8",,,"28.9","24.6","3.83"
"Martinez, Justin",679885,2024,"100.5","2229","72.2","64","11.8","44.8","21.7",,,,"2.48"
"Hurter, Brant",676428,2024,"92.1","2081","45.1","10","7.1","50.4",,,"11.8",,"2.58"
"Birdsong, Hayden",806185,2024,"95.8","2291","72.0","16","44.6",,"18.3","18.7","18.4",,"4.75"
"Mears, Nick",683232,2024,"96.7","2318","57.2","54","60.2",,"22.6","17.2",,,"5.93"
"Webb, Jacob",657097,2024,"93.5","2466","56.2","60","44.3",,,,"27.7",,"3.02"
"Chapman, Aroldis",547973,2024,"97.8","2368","61.2","68","33.4","27.7","26.6",,,,"3.79"
"Hjelle, Sean",663546,2024,,,"80.2","58",,"55.5",,"34.4",,"10.1","3.90"
"Roupp, Landen",694738,2024,"93.7","2014","50.1","23","2.6","39.6","4.2","44.2","9.4",,"3.58"
"Booser, Cam",592155,2024,"95.3","2087","42.2","43","41",,,,,"35.4","3.38"
"Meyer, Max",676974,2024,"94.1","2386","57.0","11","39.6","1.9","40.6",,"17.9",,"5.68"
"Wesneski, Hayden",669713,2024,"94.6","2114","67.2","28","36","11.8",,,"2.8","8.7","3.86"
"Quintana, Jose",500779,2024,"90.7","2073","170.1","31","22.5","30.4",,"21.9","19.3",,"3.75"
"Tonkin, Michael",543859,2024,"93.2","2344","79.1","57","37.7","17.2","35.7",,,,"3.63"
"Robertson, David",502085,2024,,,"72.0","68",,"1.4","6.8","26.7","1.7","63.4","3.00"
"Martin, Davis",663436,2024,"93.6","2384","50.0","11","28.5",,"17.4","7.6","19.7",,"4.32"
"Kirby, George",669923,2024,"96","2232","191.0","33","34.5","23.1",,"8.1",,"0.4","3.53"
"Koenig, Jared",657649,2024,"95.9","2374","62.0","55","1.2","56.6",,"13.1","3.9","25.2","2.47"
"Blackburn, Paul",621112,2024,"91.9","2181","75.1","14","19.5","13.6",,"10.2","18.1","22","4.66"
"Harris, Hogan",663687,2024,"92.9","2256","72.1","21","56","0.2",,"15.7","16.5","0.2","2.86"
"Garrett, Reed",657585,2024,"96.8","2342","57.1","53","16.8","12.4",,,,"23.7","3.77"
"Kelly, Merrill",518876,2024,"91.9","2381","73.2","13","20.4","13.8","11.8","7.8","20.9","25.2","4.03"
"Richards, Trevor",670950,2024,"92.3","2248","65.1","55","45.4","0.9","0.3",,"53.3",,"4.55"
"Treinen, Blake",595014,2024,"94.3","2437","46.2","50","11.1","34.2",,,,"16.1","1.93"
"Kelly, Kevin",687330,2024,"92","2179","70.2","68","2.2","61.5",,,,"8.4","2.67"
"López, Pablo",641154,2024,"95","2206","185.1","32","40.4","7.7",,"9.9","20.1",,"4.08"
"Civale, Aaron",650644,2024,"92","2389","161.0","31","9.7","24.2","1.5","15.7",,"32.2","4.36"
"Pressly, Ryan",519151,2024,"93.8","2557","56.2","59","33","2.1","28.9","24.9","11.1",,"3.49"
"King, John",667463,2024,"93.7","2225","60.0","56","1.4","58.9","12",,"27.7",,"2.85"
"Ginkel, Kevin",656464,2024,"96","2420","70.0","72","52.7","8.9","38.4",,,,"3.21"
"Estes, Joey",683155,2024,"92.4","2374","127.2","25","51.3","3.9","13.6",,"11","0.7","5.01"
"Sands, Cole",663485,2024,"95.7","2295","71.1","62","28.9","10.2",,"14.1",,"29.5","3.28"
"Morejon, Adrian",670970,2024,"96.9","2487","63.2","60","23.2","36.2","29.8","0.8",,,"2.83"
"Jarvis, Bryce",686826,2024,"95.7","2107","59.1","44","34.6","14.7","24","0.7","13.6","12.4","3.19"
"Iglesias, Raisel",628452,2024,"95.6","2296","69.1","66","30.2","18.4","20.7",,"30.7",,"1.95"
"Adams, Austin",613534,2024,"93.4","2666","41.1","56","23.6","2.6","73.8",,,,"3.92"
"Gray, Sonny",543243,2024,"92.4","2515","166.1","28","23.8","17.9",,"13.9","6.4","17.8","3.84"
"Winckowski, Josh",670174,2024,"95.1","2144","76.0","40","5.2","33.7","13.3",,"12.6","35.2","4.14"
"Scherzer, Max",453286,2024,"92.5","2299","43.1","9","43.9",,"22.3","13.9","13.9","6","3.95"
"Cleavinger, Garrett",664076,2024,"96.4","2342","60.0","68","24.9","9.4","24.1",,,"24.6","3.75"
"Long, Sam",669674,2024,"94.3","2346","42.2","43","38.3","0.1","30.8","22.2",,,"3.16"
"Pepiot, Ryan",686752,2024,"94.9","2379","130.0","26","50.4","0.2","17.4","2.7","23.4","5.8","3.60"
"Anderson, Tyler",542881,2024,"89.5","2196","179.1","31","39.6","3.3","1.8","0.1","37.1","18.1","3.81"
"Vest, Will",676684,2024,"96.1","2162","70.1","69","56","12.6","21.6",,"9.8",,"2.82"
"Liberatore, Matthew",669461,2024,"94.7","2116","86.0","60","28","20.6","27.5","6.5","4.6","12.9","4.40"
"Corbin, Patrick",571578,2024,"91.3","2149","174.2","32","5.7","35.7","34.2","1.8","3.3","19.2","5.62"
"Smith, Burch",572143,2024,"94.9","2283","56.1","50","50","0.2",,"18.3","0.8","21.4","4.95"
"Kopech, Michael",656629,2024,"98.7","2620","67.2","67","78.5",,"11",,,"10.5","3.46"
"Avila, Pedro",658648,2024,"93.4","2247","82.2","54","39","12.5","6.8","16.1","22",,"3.81"
"Chavez, Jesse",445926,2024,,,"63.1","46",,"26.9","1.6","7","13.4","51.1","3.13"
"Sandlin, Nick",680704,2024,"92.6","2356","57.2","68","29.9","8.8","34.8",,,,"3.75"
"Little, Brendon",663893,2024,,,"45.2","49",,"57",,"31.8",,"11.2","3.74"
"Curry, Xzavion",675540,2024,"92.1","2090","42.2","16","49.5",,"34.3","13.9","0.9",,"4.64"
"Assad, Javier",665871,2024,"91.5","2036","147.0","29","16.2","35.4","1.7","11.6","4.6","21.6","3.73"
"Oller, Adam",670124,2024,"93.8","2201","42.1","8","42","9.4","0.8","14.9","7",,"5.31"
"Foley, Jason",671345,2024,"97.2","2208","60.0","69","7.5","55.9","31.5",,"5.1",,"3.15"
"Brito, Jhony",666745,2024,"96.4","2139","43.2","26","25.1","26.2","8.9","1.4","34.5",,"4.12"
"Sánchez, Cristopher",650911,2024,,,"181.2","31",,"47.3","16.8",,"35.7","0.2","3.32"
"Cabrera, Génesis",650893,2024,"95.9","2263","62.2","69","19.3","21.7",,"12","7.7","39.3","3.59"
"Domínguez, Seranthony",622554,2024,"97.7","2400","58.2","63","40.8","17.8","21.8",,"1.6",,"4.45"
"Flexen, Chris",623167,2024,"91.3","2143","160.0","33","37.1","0","1.3","12.2","15.7","26.2","4.95"
"Armstrong, Shawn",542888,2024,"93.3","2311","66.2","57","33.2","27.1",,,,"31","4.86"
"Maton, Phil",664208,2024,,,"64.0","71",,"9.3","4","28.8",,"35.5","3.66"
"Nola, Aaron",605400,2024,"92.5","2307","199.1","33","27.7","20.6",,"32.9","9.6","9.2","3.57"
"Hicks, Jordan",663855,2024,"95.3","2126","109.2","29","5.4","51.5",,,,,"4.10"
"Alcala, Jorge",660896,2024,"98.1","2472","58.1","54","43.8","7.7","38.7",,"9.8",,"3.24"
"Pivetta, Nick",601713,2024,"93.9","2311","145.2","27","48.5","0.1","3.5","16.3",,"5.9","4.14"
"Vásquez, Randy",681190,2024,"94.3","2420","98.0","20","28.1","16","0.2","16.4","12.4","13.8","4.87"
"Lynn, Lance",458681,2024,"92.3","2455","117.1","23","47.3","16.7",,"6.2","6.3","22.3","3.84"
"Bender, Anthony",669622,2024,"95.5","2337","53.0","59","1.9","45.2","1.6",,"3.8","2.2","4.08"
"López, Jorge",605347,2024,"95.6","2024","53.0","52","19.8","36.3","19","13.1","11.8",,"2.89"
"Bummer, Aaron",607481,2024,"93.6","2302","55.1","56","10","39.8",,"2.3","1.1","5","3.58"
"Bellozo, Valente",678368,2024,"89.2","2089","68.2","13","37.6",,,"12.4","13.9","25.1","3.67"
"Mlodzinski, Carmen",669387,2024,"96.2","2289","50.2","40","39.8",,"26.6",,"0.3","20.3","3.38"
"Vesia, Alex",681911,2024,"93.4","2399","66.1","67","63.1","0.1","31.7",,"5",,"1.76"
"Gray, Jon",592351,2024,"94.9","2029","102.2","23","44.4",,"43.9","4.6","7.1",,"4.47"
"Nicolas, Kyle",693312,2024,"97.4","2377","54.2","51","55.1",,"22","22.9",,,"3.95"
"Spiers, Carson",686730,2024,"92.4","2325","90.2","22","29.8","17.6","0.8",,"12.1","16","5.46"
"Montgomery, Jordan",656756,2024,"92.1","2294","117.0","25","17.2","30.9","1.8","30.7","19.3",,"6.23"
"Uceta, Edwin",670955,2024,"94.2","2394","41.2","30","40","0.1",,"0.6","34.1","21.3","1.51"
"Kittredge, Andrew",552640,2024,"94","2520","70.2","74","12.6","37.3","49.4",,"0.1","0.6","2.80"
"Festa, David",701581,2024,"94.7","2349","64.1","14","40.2",,"31.8",,"28",,"4.90"
"Suarez, Ranger",624133,2024,"91.8","2010","150.2","27","19.6","31.4","0.1","20.5","16.3","12.1","3.46"
"Kochanowicz, Jack",686799,2024,"96.2","2164","65.1","11","6.1","72.6","14.1",,"2.9",,"3.99"
"Yates, Kirby",489446,2024,"93.2","2357","61.2","61","60.7",,"0.6",,,,"1.17"
"Faedo, Alex",656412,2024,"94","2459","57.1","37","35.2","5.4","39.6",,"19.9",,"3.61"
"Gausman, Kevin",592332,2024,"94","2287","181.0","31","51.9","6.3","8.4",,,,"3.83"
"Lee, Dylan",669276,2024,"92.4","2251","59.2","52","33.1",,"54.8",,"12.1",,"2.11"
"Rodón, Carlos",607074,2024,"95.4","2384","175.0","32","49.4","0","26","8.3","12.9","3.5","3.96"
"Smith, Cade",671922,2024,"96","2280","75.1","74","69.1",,,,,,"1.91"
"Ober, Bailey",641927,2024,"91.7","2303","178.2","31","38.1",,"19.4","1.3","29.4",,"3.98"
"Thielbar, Caleb",573204,2024,"93.2","2275","47.1","59","43.4",,"0.9","24.8",,,"5.32"
"Steele, Justin",657006,2024,"91.6","2419","134.2","24","59.7","5.2","29.7","2.2","3.2",,"3.07"
"Keller, Mitch",656605,2024,"94.5","2404","178.0","31","29.5","22.6","9.5","9.6","1","12.3","4.25"
"Soriano, José",667755,2024,"98.7","2181","113.0","22","14.9","46.5","5.2","25.3",,,"3.42"
"Valdez, Framber",664285,2024,"94.8","2160","176.1","28","0.7","46.2","4.3","31.3","17.5",,"2.91"
"Martinez, Seth",661527,2024,"90.8","2112","52.2","44","32.6","21",,,"14.6",,"3.59"
"Alexander, Tyler",641302,2024,"89.6","2294","107.2","23","22.7","12.7","0.4",,"13.7","31.8","5.10"
"Maeda, Kenta",628317,2024,"90.8","2284","112.1","29","22.5","7.2","22.7","1.6",,"1.7","6.09"
"Wilson, Justin",458677,2024,"95.5","2213","46.2","60","49.6",,"25.4",,,"23.9","5.59"
"Cortes, Nestor",641482,2024,"92.1","2309","174.1","31","44.4","1.2","0.9",,"9.6","28","3.77"
"Miller, Tyson",668338,2024,"89.6","2169","62.0","58","47.3","3.4",,"3.2","2.2",,"2.32"
"Vodnik, Victor",680767,2024,"98","2279","73.2","64","63.2","0.1","20.1",,"16.6",,"4.28"
"Lawrence, Justin",664875,2024,"95.1","2420","59.2","56","0.7","58.2",,,,,"6.49"
"Law, Derek",571882,2024,"95.1","2111","90.0","75","13.5","9.9","30.3","3.6","5.1","37.6","2.60"
"Kolek, Stephen",663568,2024,"95.8","2257","46.2","42","12.9","41.2","9.8",,"6.6","19.1","5.21"
"Darvish, Yu",506433,2024,"94.1","2317","81.2","16","18.4","17.1","23.3","13.7","5","4.6","3.31"
"Weathers, Ryan",677960,2024,"95.9","2318","86.2","16","39.2","12.5","0.6",,"26",,"3.63"
"Ferguson, Tyler",621053,2024,"95.9","2350","51.1","48","38.6","22.1",,,"2.2","12.8","3.68"
"Keller, Brad",641745,2024,"93.8","2242","41.1","16","37.7","4.8","36.3","1.6","13.2",,"5.44"
"Greene, Hunter",668881,2024,"97.6","2379","150.1","26","55.2",,"34.6","1.8",,,"2.75"
"Akin, Keegan",669211,2024,"93.9","2419","78.2","66","56",,"33.2",,"10.8",,"3.32"
"Wicks, Jordan",696136,2024,"92.5","2315","46.0","11","45.1","13","6","6.1","25.8",,"5.48"
"Turnbull, Spencer",605513,2024,"92","2499","54.1","17","35","12.1","5.3","9","5.3",,"2.65"
"Snell, Blake",605483,2024,"95.9","2435","104.0","20","46.3","0.1","10","26.1","17.5",,"3.12"
"Sears, JP",676664,2024,"91.9","2087","180.2","32","36.1","10.7","8.4","0.6","19.2",,"4.38"
"Ashcraft, Graham",668933,2024,,,"77.1","15",,"15","32",,"4.5","48.6","5.24"
"Tinoco, Jesus",622786,2024,"96.5","2358","40.2","32","13","30.3","52.2",,"3.9","0.6","3.32"
"Lugo, Seth",607625,2024,"92.2","2367","206.2","33","24","18.5","9","16.2","6.7","8.9","3.00"
"Mize, Casey",663554,2024,"95.5","2260","102.1","22","38.2","8.4","26","7.5",,"0.8","4.49"
"Pearson, Nate",663878,2024,"97.7","2254","66.1","60","45.9","1.8","40.7","11.5",,,"4.48"
"Pallante, Andre",669467,2024,"94.5","2248","121.1","29","50.4","19.8","17.2","12.6",,,"3.78"
"Knack, Landon",689017,2024,"93.5","2448","69.0","15","46.3",,"22.3","16.3","14.5",,"3.65"
"Moore, Matt",519043,2024,"92.7","2249","48.1","51","50",,,"17.6","31.7","0.7","5.03"
"Ottavino, Adam",493603,2024,"93.2","2366","56.0","60","10","33.8","2.1","0.8","5","11","4.34"
"Gil, Luis",661563,2024,"96.6","2438","151.2","29","48.8",,"25.9",,"25.3",,"3.50"
"Skenes, Paul",694973,2024,"98.8","2244","133.0","23","39.2",,"6.2","10.8","5.4",,"1.96"
"Gaddis, Hunter",683769,2024,"95.4","2327","74.2","78","38.3",,"44.8",,"16.8",,"1.57"
"Olson, Reese",681857,2024,"94.2","2230","112.1","22","23.9","20","27.8","6","22.3",,"3.53"
"Barnes, Jacob",606930,2024,"95.4","2465","66.0","63","47.3",,"3.5",,,"49.2","4.36"
"McFarland, T.J.",519008,2024,,,"56.2","79",,"49.2",,,"12.3","0.1","3.81"
"Fried, Max",608331,2024,"93.9","2225","174.1","29","32.3","16.6","5.9","20.9","13.7","4.9","3.25"
"Morgan, Eli",669212,2024,"92.2","2252","42.0","32","40.2",,"36.1",,"23.7",,"1.93"
"Muller, Kyle",666205,2024,"92.6","2371","49.1","21","53.4",,"24.7","14.1","7.9",,"4.01"
"Stripling, Ross",548389,2024,"91.7","2144","85.1","22","30.7","13.8","13.4","8.6","17.6","15.9","6.01"
"Littell, Zack",641793,2024,"92.4","2023","156.1","29","22.3","14.6","34.8",,,,"3.63"
"Detmers, Reid",672282,2024,"93.8","2133","87.1","17","42.4","4.4","24.5","14.6","14.1",,"6.70"
"Ramírez, Yohan",670990,2024,"94.8","2336","45.0","38","17.2","39.8",,"14.2",,,"6.20"
"Miller, Bobby",676272,2024,"97.6","2296","56.0","13","36.8","14.7","9.6","19","19.9",,"8.52"
"Grove, Michael",675627,2024,"94","2429","51.0","39","1","22.1","53.1","7",,"16.8","5.12"
"Jackson, Luke",592426,2024,"94.7","2295","53.0","52","31.6",,"52","15.4",,"1","5.09"
"Walker, Ryan",676254,2024,"94.5","2215","80.0","76","0.6","54.7","44.8",,,,"1.91"
"Helsley, Ryan",664854,2024,"99.6","2551","66.1","65","45.4",,"48.2","6.3",,,"2.04"
"Leahy, Kyle",681517,2024,"95.5","2273","48.2","33","44.3",,"25.3","6.3","9.2",,"4.07"
"Bradley, Taj",671737,2024,"96.4","2304","138.0","25","41.7",,,"8.9",,"22.5","4.11"
"Baumann, Mike",657508,2024,"96.5","2285","58.1","57","40.6","0.2","23.9","33.5","1.8",,"5.55"
"Jax, Griffin",643377,2024,"97.1","2486","71.0","72","30.4","9.3",,"6.2","16.7",,"2.03"
"Dubin, Shawn",681869,2024,"95","2343","45.1","31","43.7","0.2",,"15.8","15.1","15.8","4.17"
